code_region;REG;Nombre d'arrondissements;Nombre de cantons;Nombre de communes;Population municipale;PTOT;;
42;Alsace;13;75;904;1843053;1877271;;
72;Aquitaine;19;235;2296;3206137;3293912;;
83;Auvergne;14;158;1310;1343964;1385690;;
25;Basse-Normandie;11;141;1812;1470880;1515129;;
26;Bourgogne;15;174;2046;1642440;1694283;;
53;Bretagne;15;201;1270;3175064;3276875;;
24;Centre;20;198;1842;2538590;2609814;;
21;Champagne-Ardenne;15;146;1949;1337953;1376019;;
94;Corse;5;52;360;305674;310827;;
43;Franche-Comté;9;116;1785;1168208;1204634;;
1;Guadeloupe;2;40;32;401554;408090;;
3;Guyane;2;19;22;224469;226426;;
23;Haute-Normandie;6;112;1420;1832942;1874664;;
11;Île-de-France;25;317;1281;11728240;11877121;;
4;La Réunion;4;49;24;816364;825035;;
91;Languedoc-Roussillon;14;186;1545;2610890;2667676;;
74;Limousin;8;106;747;741785;763969;;
41;Lorraine;19;157;2339;2350112;2405353;;
2;Martinique;4;45;34;396404;402499;;
73;Midi-Pyrénées;22;293;3020;2862707;2944157;;
31;Nord-Pas-de-Calais;13;156;1545;4033197;4102236;;
52;Pays de la Loire;17;203;1502;3539048;3642762;;
22;Picardie;13;129;2291;1911157;1958558;;
54;Poitou-Charentes;14;157;1462;1760575;1814036;;
93;Provence-Alpes-Côte d'Azur;18;236;963;4889053;4972485;;
82;Rhône-Alpes;25;335;2879;6174040;6325984;;
